Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,161.679993,162.740005,161.300003,162.309998,162.309998,5286
2021-06-02,161.500000,162.539993,160.949997,161.690002,161.690002,5228
2021-06-03,161.690002,163.100006,161.690002,162.550003,162.550003,2353
2021-06-04,163.399994,164.490005,163.169998,163.690002,163.690002,5422
2021-06-07,163.800003,165.119995,163.800003,164.490005,164.490005,4410
2021-06-08,165.139999,170.009995,163.800003,166.679993,166.679993,3763
2021-06-09,164.240005,194.800003,164.240005,179.320007,179.320007,5539
2021-06-10,164.589996,164.789993,163.619995,164.500000,164.500000,23643
2021-06-11,167.000000,167.000000,164.009995,164.440002,164.440002,6107
2021-06-14,189.750000,189.750000,162.570007,164.479996,164.479996,5610
2021-06-15,164.490005,166.039993,164.490005,164.919998,164.919998,6322
2021-06-16,165.470001,165.490005,163.399994,164.360001,164.360001,4270
2021-06-17,163.789993,164.600006,163.000000,163.479996,163.479996,3067
2021-06-18,163.100006,164.399994,161.270004,163.190002,163.190002,4707
2021-06-21,162.500000,164.000000,161.600006,163.770004,163.770004,3239
2021-06-22,165.000000,165.850006,163.699997,163.740005,163.740005,3282
2021-06-23,165.000000,165.380005,163.199997,163.279999,163.279999,4193
2021-06-24,163.320007,164.500000,163.320007,164.110001,164.110001,2567
2021-06-25,164.139999,165.160004,163.910004,164.800003,164.800003,3576
2021-06-28,165.869995,165.960007,164.119995,164.539993,164.539993,4391
2021-06-29,163.929993,165.000000,163.729996,164.619995,164.619995,2568
2021-06-30,164.619995,165.520004,163.699997,164.229996,164.229996,4453
2021-07-01,164.229996,174.880005,163.169998,163.190002,163.190002,3667
2021-07-02,163.160004,164.300003,162.860001,164.160004,164.160004,4329
2021-07-05,178.899994,178.899994,164.360001,164.669998,164.669998,4264
2021-07-06,165.240005,166.039993,164.100006,164.539993,164.539993,6113
2021-07-07,165.000000,165.250000,164.539993,165.080002,165.080002,2222
2021-07-08,164.100006,165.589996,163.250000,164.110001,164.110001,2301
2021-07-09,163.270004,164.250000,163.210007,163.289993,163.289993,1977
2021-07-12,null,null,null,null,null,null
2021-07-13,164.289993,164.820007,163.830002,164.800003,164.800003,2500
2021-07-14,164.559998,165.089996,163.750000,165.000000,165.000000,2490
2021-07-15,165.000000,165.929993,164.779999,165.830002,165.830002,5697
